GEOID,Tract-Name,2019 Scores - 2010 Scores
013367200,3672.0,12
013368001,3680.01,19
013368002,3680.02,5
013369001,3690.01,12
013369002,3690.02,7
013370000,3700.0,5
013371000,3710.0,5
013372000,3720.0,9
013373000,3730.0,6
013374000,3740.0,4
013375000,3750.0,1
013376000,3760.0,-4
013377000,3770.0,1
013378000,3780.0,9
013379000,3790.0,1
013380000,3800.0,3
013381000,3810.0,2
013382000,3820.0,3
013383000,3830.0,4
013384000,3840.0,4
013385100,3851.0,3
013385200,3852.0,4
013386000,3860.0,4
013387000,3870.0,4
013388000,3880.0,4
013389100,3891.0,3
013389200,3892.0,3
013390100,3901.0,3
013390200,3902.0,3
013391000,3910.0,3
013392000,3920.0,4
013392200,3922.0,14
013392300,3923.0,3
015000101,1.01,17
015000102,1.02,18
015000104,1.04,18
015000105,1.05,18
015000201,2.01,17
015000202,2.02,14
015000203,2.03,13
017030200,302.0,-21
017030301,303.01,-21
017030302,303.02,-23
017030401,304.01,-19
017030402,304.02,-20
017030502,305.02,-18
017030504,305.04,-21
017030505,305.05,-20
017030601,306.01,1
017030602,306.02,0
017030603,306.03,-3
017030701,307.01,1
017030704,307.04,1
017030706,307.06,0
017030709,307.09,2
017030710,307.1,1
017030801,308.01,1
017030803,308.03,0
017030804,308.04,2
017030807,308.07,1
017030808,308.08,1
017030809,308.09,1
017030810,308.1,2
017030901,309.01,1
017030902,309.02,1
017031000,310.0,1
017031100,311.0,1
017031200,312.0,1
017031301,313.01,0
017031302,313.02,-2
017031402,314.02,-2
017031404,314.04,1
017031405,314.05,-1
017031406,314.06,-1
017031502,315.02,1
017031503,315.03,1
017031504,315.04,1
017031600,316.0,-22
017031700,317.0,1
017031800,318.0,1
017031900,319.0,-11
017032000,320.0,-19
019000100,1.0,1
019000200,2.0,2
019000300,3.0,2
019000400,4.0,3
019000501,5.01,2
019000502,5.02,2
019000600,6.0,1
019000700,7.0,1
019000800,8.0,2
019000901,9.01,3
019000902,9.02,2
019001000,10.0,3
019001100,11.0,7
019001201,12.01,16
019001202,12.02,3
019001301,13.01,0
019001303,13.03,5
019001304,13.04,0
019001407,14.07,-1
019001408,14.08,7
019001409,14.09,3
019001410,14.1,12
019001411,14.11,2
019001412,14.12,2
019001413,14.13,3
019001414,14.14,5
019001500,15.0,14
019001600,16.0,4
019001700,17.0,5
019001800,18.0,5
019001900,19.0,2
019002000,20.0,1
019002100,21.0,1
019002200,22.0,1
019002300,23.0,1
019002400,24.0,1
019002501,25.01,1
019002502,25.02,1
019002601,26.01,1
019002602,26.02,2
019002701,27.01,1
019002702,27.02,1
019002800,28.0,1
019002903,29.03,1
019002904,29.04,1
019002905,29.05,1
019002906,29.06,1
019003001,30.01,1
019003003,30.03,2
019003004,30.04,2
019003102,31.02,-4
019003103,31.03,-2
019003104,31.04,-2
019003201,32.01,0
019003202,32.02,1
019003301,33.01,0
019003302,33.02,1
019003400,34.0,0
019003500,35.0,1
019003600,36.0,0
019003701,37.01,0
019003702,37.02,0
019003803,38.03,-1
019003804,38.04,-1
019003805,38.05,-1
019003807,38.07,0
019003808,38.08,0
019003809,38.09,0
019003810,38.1,-1
019003900,39.0,0
019004001,40.01,1
019004002,40.02,1
019004100,41.0,0
019004205,42.05,-1
019004207,42.07,-2
019004208,42.08,-3
019004210,42.1,-5
019004211,42.11,-4
019004212,42.12,-2
019004213,42.13,-2
019004214,42.14,-4
019004215,42.15,-4
019004216,42.16,-4
019004301,43.01,-4
019004302,43.02,-2
019004303,43.03,-1
019004404,44.04,-2
019004405,44.05,-2
019004406,44.06,-2
019004408,44.08,-2
019004409,44.09,-2
019004503,45.03,-1
019004504,45.04,-1
019004505,45.05,-1
019004506,45.06,-1
019004601,46.01,0
019004602,46.02,0
019004701,47.01,0
019004703,47.03,0
019004704,47.04,-1
019004801,48.01,1
019004802,48.02,0
019004901,49.01,0
019004902,49.02,0
019005000,50.0,0
019005100,51.0,0
019005202,52.02,-1
019005203,52.03,1
019005204,52.04,1
019005301,53.01,-1
019005302,53.02,-1
019005304,53.04,-3
019005305,53.05,-1
019005403,54.03,-2
019005405,54.05,-1
019005406,54.06,-2
019005407,54.07,-3
019005408,54.08,-5
019005409,54.09,-2
019005410,54.1,-1
019005503,55.03,-1
019005504,55.04,-1
019005505,55.05,-1
019005507,55.07,-1
019005508,55.08,-2
019005509,55.09,-3
019005510,55.1,-2
019005512,55.12,-3
019005513,55.13,-4
019005514,55.14,-4
019005515,55.15,0
019005516,55.16,-1
019005517,55.17,-1
019005518,55.18,-1
019005520,55.2,-1
019005522,55.22,-2
019005524,55.24,-2
019005525,55.25,-1
019005602,56.02,-7
019005605,56.05,-5
019005606,56.06,-7
019005607,56.07,-4
019005608,56.08,-7
019005701,57.01,-5
019005702,57.02,-2
019005703,57.03,-2
019005704,57.04,-4
019005801,58.01,-3
019005802,58.02,-2
019005804,58.04,-1
019005805,58.05,1
019005904,59.04,2
019005905,59.05,1
019005906,59.06,2
019005907,59.07,-1
019005909,59.09,-1
019005911,59.11,-1
019005912,59.12,-1
019006000,60.0,2
019006100,61.0,2
019006201,62.01,2
019006202,62.02,1
019006300,63.0,1
019006402,64.02,4
019006403,64.03,5
019006404,64.04,1
019006405,64.05,2
019006501,65.01,1
019006502,65.02,2
019006602,66.02,0
019006603,66.03,0
019006604,66.04,1
019006700,67.0,0
019006802,68.02,1
019006900,69.0,2
019007002,70.02,1
019007003,70.03,2
019007004,70.04,1
019007100,71.0,1
019007201,72.01,1
019007202,72.02,1
019007300,73.0,3
019007400,74.0,1
019007500,75.0,2
019007600,76.0,2
019007700,77.0,1
019007801,78.01,-1
019007802,78.02,0
019007901,79.01,-1
019007902,79.02,1
019008000,80.0,0
019008100,81.0,0
019008200,82.0,-1
019008301,83.01,-1
019008302,83.02,-1
019008401,84.01,0
019008402,84.02,0
019008501,85.01,0
019008502,85.02,2
021010100,101.0,1
021010200,102.0,1
021010300,103.0,0
021010400,104.0,0
021010501,105.01,1
021010502,105.02,0
023000100,1.0,7
023000200,2.0,3
023000300,3.0,4
023000400,4.0,3
023000500,5.0,5
023000600,6.0,5
023000700,7.0,4
023000800,8.0,6
023000900,9.0,4
023001000,10.0,5
023001101,11.01,5
023001200,12.0,5
023001300,13.0,5
023010102,101.02,6
023010200,102.0,7
023010300,103.0,5
023010400,104.0,6
023010501,105.01,6
023010502,105.02,6
023010600,106.0,4
023010700,107.0,3
023010800,108.0,3
023010901,109.01,3
023010902,109.02,3
023011000,110.0,3
023011100,111.0,3
023011200,112.0,2
023011500,115.0,1
023011600,116.0,0
023940000,9400.0,7
025010101,101.01,-4
025010102,101.02,-5
025010200,102.0,-2
025010300,103.0,0
025010400,104.0,0
025010500,105.0,0
025010600,106.0,0
025010700,107.0,0
025010800,108.0,6
025010900,109.0,6
025011000,110.0,0
025011100,111.0,-1
025011201,112.01,-3
025011202,112.02,-3
025011300,113.0,1
025011400,114.0,-3
025011500,115.0,-5
