GEOID,Tract-Name,2019 Scores - 2010 Scores
007002100,21.0,47.0
007002200,22.0,18.0
007002300,23.0,-4.0
007002400,24.0,-16.0
007002500,25.0,34.0
007002601,26.01,-18.0
007002602,26.02,56.0
007002700,27.0,28.0
007002800,28.0,-33.0
007002900,29.0,-2.0
007003001,30.01,-13.0
007003002,30.02,-16.0
007003100,31.0,-38.0
007003200,32.0,-4.0
007003300,33.0,-40.0
007003400,34.0,21.0
007003501,35.01,-69.0
007003502,35.02,25.0
007003600,36.0,12.0
007003700,37.0,1.0
009000120,1.2,-49.0
009000121,1.21,82.0
009000122,1.22,-41.0
009000210,2.1,-12.0
009000220,2.2,26.0
009000300,3.0,-51.0
009000400,4.0,-16.0
009000501,5.01,25.0
009000503,5.03,0.0
009000504,5.04,0.0
011000100,1.0,-6.0
011000200,2.0,-53.0
011000300,3.0,34.0
011000400,4.0,55.0
011000500,5.0,-33.0
013301000,3010.0,38.0
013302005,3020.05,-27.0
013302006,3020.06,-100.0
013302007,3020.07,41.0
013302008,3020.08,-18.0
013302009,3020.09,-17.0
013302010,3020.1,18.0
013303102,3031.02,-1.0
013303103,3031.03,43.0
013303201,3032.01,-19.0
013303202,3032.02,17.0
013303203,3032.03,10.0
013303204,3032.04,-36.0
013303205,3032.05,12.0
013304001,3040.01,-3.0
013304002,3040.02,-48.0
013304003,3040.03,-54.0
013304004,3040.04,-31.0
013304005,3040.05,-38.0
013305000,3050.0,17.0
013306002,3060.02,-100.0
013306003,3060.03,16.0
013306004,3060.04,9.0
013307101,3071.01,94.0
013307102,3071.02,-40.0
013307201,3072.01,-33.0
013307202,3072.02,-24.0
013307204,3072.04,37.0
013307205,3072.05,18.0
013308001,3080.01,-14.0
013308002,3080.02,-29.0
013309000,3090.0,-1.0
013310000,3100.0,7.0
013311000,3110.0,-26.0
013312000,3120.0,5.0
013313101,3131.01,-13.0
013313102,3131.02,4.0
013313103,3131.03,-15.0
013313203,3132.03,41.0
013313204,3132.04,30.0
013313205,3132.05,32.0
013313206,3132.06,26.0
013314102,3141.02,65.0
013314103,3141.03,-19.0
013314104,3141.04,-8.0
013314200,3142.0,-3.0
013315000,3150.0,-45.0
013316000,3160.0,37.0
013317000,3170.0,100.0
013318000,3180.0,-69.0
013319000,3190.0,-15.0
013320001,3200.01,-54.0
013320003,3200.03,-66.0
013320004,3200.04,-44.0
013321101,3211.01,49.0
013321102,3211.02,12.0
013321103,3211.03,23.0
013321200,3212.0,40.0
013322000,3220.0,-21.0
013323000,3230.0,51.0
013324001,3240.01,38.0
013324002,3240.02,10.0
013325000,3250.0,-12.0
013326000,3260.0,6.0
013327000,3270.0,8.0
013328000,3280.0,53.0
013329000,3290.0,-36.0
013330000,3300.0,-5.0
013331000,3310.0,18.0
013332000,3320.0,7.0
013333101,3331.01,49.0
013333102,3331.02,46.0
013333200,3332.0,-28.0
013334001,3340.01,6.0
013334004,3340.04,-24.0
013334006,3340.06,-19.0
013334200,3342.0,-37.0
013335000,3350.0,-42.0
013336101,3361.01,-7.0
013336102,3361.02,34.0
013336201,3362.01,-53.0
013336202,3362.02,-7.0
013337100,3371.0,-7.0
013337200,3372.0,-32.0
013337300,3373.0,19.0
013338101,3381.01,33.0
013338102,3381.02,-1.0
013338201,3382.01,0.0
013338203,3382.03,45.0
013338204,3382.04,6.0
013338301,3383.01,-29.0
013338302,3383.02,-34.0
013339001,3390.01,45.0
013339002,3390.02,9.0
013340001,3400.01,36.0
013340002,3400.02,20.0
013341000,3410.0,-6.0
013343001,3430.01,38.0
013343002,3430.02,-33.0
013343003,3430.03,-43.0
013345101,3451.01,-7.0
013345102,3451.02,23.0
013345103,3451.03,36.0
013345105,3451.05,-34.0
013345108,3451.08,7.0
013345111,3451.11,-17.0
013345112,3451.12,-10.0
013345113,3451.13,12.0
013345114,3451.14,-39.0
013345115,3451.15,-20.0
013345116,3451.16,1.0
013345202,3452.02,15.0
013345203,3452.03,3.0
013345204,3452.04,19.0
013346101,3461.01,-47.0
013346102,3461.02,10.0
013346201,3462.01,-30.0
013346203,3462.03,-38.0
